Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
54110282 -0,098 1,655 0,905 -0,141 1,518 0,833 
54110339 -0,098 1,655 0,905 -0,151 1,521 0,839 
54110497 -0,098 1,655 0,905 -0,197 1,532 0,867 
54110586 -0,098 1,655 0,905 -0,228 1,538 0,888 
54110740 -0,098 1,655 0,905 -0,286 1,548 0,924 
54110867 -0,098 1,655 0,905 -0,303 1,552 0,935 
54110902 -0,098 1,655 0,905 -0,303 1,552 0,935 
54111049 -0,098 1,655 0,905 -0,303 1,552 0,935 
54111140 -0,098 1,655 0,905 -0,326 1,559 0,949 
54111287 -0,098 1,655 0,905 -0,338 1,564 0,956 
54111404 -0,098 1,655 0,905 -0,361 1,575 0,968 
54111452 -0,098 1,655 0,905 -0,361 1,575 0,968 
54111581 -0,098 1,655 0,905 -0,366 1,579 0,971 
54111717 -0,098 1,655 0,905 -0,371 1,582 0,973 
54111801 -0,098 1,655 0,905 -0,375 1,584 0,975 
54111900 -0,098 1,655 0,905 -0,380 1,588 0,977 
54112012 -0,098 1,655 0,905 -0,396 1,600 0,982 
54112143 -0,098 1,655 0,905 -0,396 1,600 0,982 
54112198 -0,098 1,655 0,905 -0,396 1,600 0,982 
54112344 -0,098 1,655 0,905 -0,409 1,615 0,979 
54112439 -0,098 1,655 0,905 -0,410 1,617 0,978 
54112533 -0,095 1,655 0,906 -0,410 1,617 0,978 
54112637 -0,091 1,655 0,906 -0,413 1,635 0,960 
54112721 -0,085 1,655 0,906 -0,413 1,635 0,960 
54112821 -0,080 1,655 0,906 -0,413 1,635 0,960 
54112898 -0,076 1,655 0,906 -0,413 1,635 0,960 
54113038 -0,067 1,655 0,906 -0,413 1,635 0,960 
54113080 -0,065 1,655 0,906 -0,413 1,635 0,960 
54113246 -0,055 1,655 0,906 -0,413 1,635 0,960 
54113353 -0,049 1,656 0,906 -0,413 1,635 0,960 
54113399 -0,046 1,656 0,906 -0,413 1,635 0,960 
54113480 -0,041 1,656 0,906 -0,413 1,635 0,960 
54113652 -0,035 1,656 0,906 -0,406 1,647 0,930 
54113809 -0,029 1,656 0,907 -0,361 1,652 0,876 
54113936 -0,023 1,656 0,907 -0,352 1,655 0,869 
54114043 -0,017 1,656 0,907 -0,342 1,658 0,864 
54114219 -0,007 1,656 0,907 -0,325 1,661 0,863 
54114698 -0,001 1,656 0,907 -0,309 1,662 0,868 
54114837 0,005 1,656 0,907 -0,293 1,660 0,878 
54114985 0,012 1,656 0,907 -0,276 1,655 0,892 
54115112 0,016 1,656 0,907 -0,267 1,653 0,900 
54115236 0,022 1,656 0,907 -0,248 1,647 0,916 
54115386 0,028 1,657 0,908 -0,234 1,643 0,930 
54115569 0,035 1,657 0,908 -0,217 1,640 0,945 
54115702 0,041 1,657 0,908 -0,205 1,638 0,954 
54115783 0,045 1,657 0,908 -0,197 1,637 0,961 
54115933 0,051 1,657 0,908 -0,183 1,635 0,970 
54116010 0,051 1,657 0,908 -0,176 1,634 0,973 
54116217 0,051 1,657 0,908 -0,163 1,637 0,979 
54116330 0,051 1,657 0,908 -0,156 1,638 0,981 
54116429 0,051 1,657 0,908 -0,152 1,639 0,982 
54116567 0,051 1,657 0,908 -0,145 1,641 0,982 
54116650 0,051 1,657 0,908 -0,144 1,641 0,982 
54116770 0,051 1,657 0,908 -0,143 1,641 0,981 
54116828 0,051 1,657 0,908 -0,145 1,640 0,981 
54116982 0,051 1,657 0,908 -0,150 1,640 0,980 
54117187 0,051 1,657 0,908 -0,169 1,638 0,983 
54117336 0,051 1,657 0,908 -0,184 1,638 0,988 
54117402 0,051 1,657 0,908 -0,192 1,637 0,991 
54117545 0,051 1,657 0,908 -0,214 1,637 1,002 
54117617 0,051 1,657 0,908 -0,223 1,637 1,007 
54117767 0,051 1,657 0,908 -0,242 1,637 1,018 
54117930 0,051 1,657 0,908 -0,263 1,637 1,032 
54118067 0,051 1,657 0,908 -0,279 1,636 1,044 
54118158 0,051 1,657 0,908 -0,289 1,635 1,051 
54118329 0,051 1,657 0,908 -0,304 1,633 1,061 
54118516 0,051 1,657 0,908 -0,310 1,633 1,065 
54118749 0,051 1,657 0,908 -0,324 1,631 1,069 
54118915 0,051 1,657 0,908 -0,323 1,632 1,066 
54119049 0,051 1,657 0,908 -0,320 1,632 1,061 
54119119 0,051 1,657 0,908 -0,319 1,632 1,060 
54119248 0,051 1,657 0,908 -0,314 1,630 1,052 
54119332 0,051 1,657 0,908 -0,311 1,629 1,048 
54119520 0,051 1,657 0,908 -0,300 1,625 1,033 
54119721 0,051 1,657 0,908 -0,284 1,624 1,016 
54119889 0,051 1,657 0,908 -0,274 1,625 1,005 
54120031 0,051 1,657 0,908 -0,264 1,627 0,994 
54120101 0,051 1,657 0,908 -0,262 1,627 0,992 
54120237 0,051 1,657 0,908 -0,254 1,630 0,983 
54120341 0,051 1,657 0,908 -0,252 1,630 0,982 
54120468 0,051 1,657 0,908 -0,246 1,634 0,974 
54120650 0,051 1,657 0,908 -0,242 1,636 0,969 
54120784 0,051 1,657 0,908 -0,238 1,637 0,967 
54120900 0,051 1,657 0,908 -0,234 1,638 0,966 
54121019 0,051 1,657 0,908 -0,224 1,638 0,964 
54121083 0,051 1,657 0,908 -0,222 1,637 0,963 
54121322 0,051 1,657 0,908 -0,204 1,635 0,961 
54121454 0,051 1,657 0,903 -0,185 1,632 0,957 
54121596 0,051 1,657 0,898 -0,169 1,628 0,951 
54121674 0,051 1,657 0,894 -0,159 1,627 0,947 
54121852 0,052 1,657 0,888 -0,136 1,623 0,935 
54121985 0,052 1,657 0,882 -0,114 1,624 0,920 
54122057 0,052 1,657 0,878 -0,105 1,625 0,913 
54122240 0,052 1,657 0,867 -0,079 1,628 0,891 
54122407 0,052 1,657 0,861 -0,064 1,630 0,876 
54122562 0,052 1,657 0,854 -0,045 1,634 0,857 
54122733 0,052 1,657 0,848 -0,030 1,640 0,841 
54122829 0,052 1,657 0,841 -0,022 1,643 0,833 
54122938 0,052 1,657 0,835 -0,013 1,647 0,825 
54122999 0,052 1,657 0,831 -0,011 1,648 0,823 
54123139 0,053 1,657 0,824 -0,002 1,654 0,817 
54123251 0,053 1,657 0,820 -0,001 1,655 0,817 
54123417 0,053 1,657 0,813 0,005 1,661 0,816 
54123583 0,053 1,657 0,806 0,006 1,667 0,820 
54123765 0,053 1,657 0,800 0,003 1,670 0,824 
54123962 0,053 1,657 0,789 -0,006 1,673 0,832 
54124105 0,053 1,657 0,782 -0,012 1,674 0,835 
54124213 0,053 1,657 0,777 -0,018 1,674 0,837 
54124347 0,053 1,657 0,771 -0,028 1,672 0,838 
54124480 0,054 1,657 0,764 -0,036 1,669 0,837 
54124559 0,054 1,657 0,759 -0,040 1,667 0,835 
54124714 0,054 1,657 0,752 -0,046 1,663 0,831 
54124794 0,054 1,657 0,745 -0,052 1,660 0,827 
54124934 0,054 1,657 0,738 -0,062 1,653 0,816 
54125175 0,054 1,657 0,726 -0,072 1,646 0,802 
54125308 0,054 1,657 0,720 -0,080 1,639 0,789 
54125460 0,054 1,657 0,713 -0,087 1,634 0,776 
54125636 0,055 1,657 0,706 -0,090 1,631 0,763 
54125731 0,055 1,657 0,699 -0,091 1,630 0,756 
54125846 0,055 1,657 0,692 -0,089 1,631 0,747 
54125903 0,055 1,657 0,687 -0,089 1,632 0,746 
54126048 0,055 1,657 0,681 -0,083 1,633 0,736 
54126180 0,055 1,657 0,681 -0,080 1,634 0,733 
54126328 0,055 1,657 0,681 -0,067 1,640 0,723 
54126464 0,055 1,657 0,681 -0,058 1,644 0,718 
54126550 0,055 1,657 0,681 -0,056 1,645 0,716 
54126704 0,055 1,657 0,681 -0,046 1,651 0,711 
54126845 0,055 1,657 0,681 -0,040 1,657 0,708 
54126937 0,055 1,657 0,681 -0,038 1,659 0,707 
54127087 0,055 1,657 0,681 -0,035 1,664 0,705 
54127180 0,055 1,657 0,681 -0,036 1,666 0,706 
54127318 0,055 1,657 0,681 -0,041 1,669 0,709 
54127453 0,055 1,657 0,681 -0,048 1,670 0,713 
54127603 0,055 1,657 0,681 -0,049 1,670 0,714 
54127758 0,055 1,657 0,681 -0,065 1,670 0,721 
54127968 0,055 1,657 0,681 -0,084 1,667 0,729 
54128137 0,055 1,657 0,681 -0,097 1,664 0,734 
54128297 0,055 1,657 0,681 -0,111 1,660 0,738 
54128506 0,055 1,657 0,681 -0,119 1,656 0,740 
54128667 0,055 1,657 0,681 -0,127 1,654 0,743 
54128826 0,055 1,657 0,681 -0,132 1,652 0,745 
54128978 0,055 1,657 0,681 -0,133 1,651 0,746 
54129058 0,055 1,657 0,681 -0,134 1,651 0,747 
54129196 0,055 1,657 0,681 -0,132 1,651 0,746 
54129297 0,055 1,657 0,681 -0,132 1,651 0,745 
54129480 0,055 1,657 0,681 -0,122 1,656 0,740 
54129629 0,055 1,657 0,681 -0,109 1,658 0,730 
54129768 0,055 1,657 0,681 -0,099 1,660 0,721 
54129864 0,055 1,657 0,681 -0,093 1,661 0,715 
54130016 0,055 1,657 0,681 -0,079 1,663 0,701 
54130171 0,055 1,657 0,681 -0,066 1,665 0,687 
54130264 0,055 1,657 0,681 -0,061 1,665 0,680 
54130431 0,055 1,657 0,681 -0,045 1,664 0,662 
54130594 0,055 1,657 0,681 -0,033 1,661 0,650 
54130794 0,055 1,657 0,681 -0,020 1,653 0,637 
54130950 0,055 1,657 0,681 -0,013 1,646 0,631 
54131041 0,055 1,657 0,681 -0,009 1,642 0,627 
54131183 0,055 1,657 0,681 -0,006 1,637 0,625 
54131299 0,055 1,657 0,681 -0,003 1,633 0,625 
54131481 0,055 1,657 0,681 0,001 1,629 0,631 
54131649 0,055 1,657 0,681 0,003 1,627 0,642 
54131800 0,055 1,657 0,681 0,005 1,627 0,659 
54131966 0,055 1,657 0,681 0,005 1,629 0,678 
54132118 0,055 1,657 0,681 0,006 1,630 0,685 
54132228 0,055 1,652 0,681 0,007 1,635 0,706 
54132438 0,055 1,647 0,681 0,006 1,642 0,725 
54132609 0,055 1,642 0,681 0,005 1,649 0,741 
54132796 0,055 1,636 0,681 0,003 1,657 0,758 
54132993 0,055 1,630 0,681 0,000 1,659 0,767 
54133173 0,055 1,623 0,681 -0,003 1,658 0,771 
54133349 0,055 1,617 0,681 -0,006 1,656 0,770 
54133615 0,056 1,610 0,681 -0,008 1,652 0,766 
54133784 0,056 1,603 0,681 -0,011 1,645 0,759 
54133954 0,056 1,596 0,681 -0,013 1,638 0,749 
54134042 0,056 1,590 0,681 -0,014 1,634 0,744 
54134173 0,056 1,583 0,681 -0,017 1,626 0,732 
54134252 0,056 1,578 0,681 -0,018 1,623 0,727 
54134423 0,056 1,571 0,681 -0,020 1,615 0,711 
54134581 0,056 1,565 0,681 -0,021 1,610 0,700 
54134729 0,056 1,558 0,681 -0,022 1,607 0,688 
54134896 0,056 1,551 0,681 -0,021 1,607 0,681 
54135099 0,056 1,539 0,681 -0,019 1,609 0,674 
54135228 0,057 1,532 0,681 -0,018 1,611 0,672 
54135351 0,057 1,526 0,681 -0,017 1,613 0,672 
54135505 0,057 1,519 0,681 -0,017 1,615 0,672 
54135648 0,057 1,512 0,681 -0,015 1,615 0,675 
54135732 0,057 1,506 0,681 -0,015 1,614 0,677 
54135949 0,057 1,499 0,681 -0,012 1,608 0,682 
54136151 0,057 1,492 0,681 -0,006 1,598 0,689 
54136410 0,057 1,485 0,681 0,001 1,587 0,697 
54136597 0,057 1,478 0,681 0,008 1,576 0,704 
