Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
56914822 -0,151 1,421 0,933 -0,687 1,480 0,940 
56914923 -0,145 1,421 0,933 -0,707 1,507 0,957 
56915023 -0,137 1,421 0,934 -0,727 1,534 0,975 
56915145 -0,128 1,421 0,934 -0,746 1,560 0,992 
56915255 -0,119 1,421 0,934 -0,752 1,567 0,997 
56915327 -0,114 1,422 0,934 -0,759 1,576 1,004 
56915421 -0,106 1,422 0,934 -0,772 1,591 1,015 
56915532 -0,098 1,422 0,934 -0,789 1,610 1,029 
56915632 -0,090 1,422 0,934 -0,809 1,629 1,047 
56915731 -0,082 1,422 0,934 -0,822 1,640 1,059 
56915839 -0,073 1,422 0,934 -0,828 1,645 1,065 
56915935 -0,065 1,423 0,935 -0,831 1,647 1,069 
56916023 -0,059 1,423 0,935 -0,836 1,650 1,074 
56916150 -0,048 1,423 0,935 -0,839 1,648 1,081 
56916250 -0,041 1,423 0,935 -0,839 1,645 1,084 
56916301 -0,037 1,423 0,935 -0,838 1,643 1,084 
56916435 -0,025 1,423 0,935 -0,832 1,636 1,085 
56916533 -0,018 1,424 0,933 -0,806 1,613 1,080 
56916630 -0,010 1,424 0,927 -0,806 1,613 1,080 
56916725 -0,002 1,424 0,922 -0,793 1,603 1,076 
56916851 0,008 1,424 0,913 -0,746 1,578 1,061 
56916944 0,015 1,425 0,907 -0,716 1,565 1,051 
56917023 0,021 1,425 0,902 -0,693 1,557 1,044 
56917157 0,032 1,425 0,892 -0,693 1,557 1,044 
56917253 0,040 1,425 0,885 -0,659 1,545 1,032 
56917338 0,047 1,426 0,878 -0,595 1,527 1,011 
56917424 0,054 1,426 0,872 -0,595 1,527 1,011 
56917550 0,064 1,426 0,862 -0,556 1,518 0,998 
56917621 0,070 1,426 0,856 -0,556 1,518 0,998 
56917731 0,078 1,427 0,848 -0,533 1,513 0,990 
56917828 0,085 1,427 0,841 -0,489 1,505 0,976 
56917920 0,092 1,427 0,834 -0,400 1,491 0,949 
56918042 0,101 1,428 0,824 -0,379 1,488 0,942 
56918135 0,109 1,428 0,816 -0,365 1,486 0,938 
56918245 0,118 1,428 0,807 -0,365 1,486 0,938 
56918344 0,125 1,428 0,801 -0,299 1,479 0,916 
56918422 0,128 1,428 0,797 -0,290 1,478 0,914 
56918526 0,139 1,429 0,787 -0,208 1,475 0,886 
56918632 0,147 1,432 0,779 -0,188 1,475 0,880 
56918752 0,158 1,439 0,770 -0,188 1,475 0,880 
56918847 0,165 1,443 0,763 -0,136 1,473 0,863 
56918931 0,172 1,448 0,757 -0,136 1,473 0,863 
56919049 0,180 1,450 0,749 -0,117 1,470 0,859 
56919151 0,189 1,451 0,740 -0,091 1,466 0,861 
56919257 0,197 1,451 0,732 -0,077 1,464 0,866 
56919355 0,205 1,451 0,725 -0,068 1,462 0,871 
56919441 0,211 1,451 0,718 -0,063 1,461 0,875 
56919551 0,220 1,452 0,710 -0,048 1,456 0,890 
56919624 0,227 1,452 0,703 -0,046 1,455 0,894 
56919758 0,236 1,452 0,693 -0,039 1,453 0,903 
56919851 0,243 1,453 0,686 -0,034 1,452 0,908 
56919934 0,247 1,453 0,682 -0,030 1,452 0,913 
56920028 0,257 1,453 0,673 -0,022 1,451 0,922 
56920148 0,266 1,453 0,663 -0,019 1,450 0,924 
56920253 0,274 1,454 0,655 -0,012 1,449 0,928 
56920346 0,281 1,454 0,647 -0,008 1,449 0,930 
56920449 0,289 1,454 0,638 -0,005 1,449 0,930 
56920536 0,296 1,454 0,631 0,000 1,450 0,931 
56920651 0,303 1,455 0,623 0,005 1,451 0,930 
56920744 0,310 1,455 0,615 0,011 1,452 0,928 
56920833 0,316 1,455 0,608 0,017 1,454 0,925 
56920924 0,323 1,455 0,601 0,025 1,456 0,919 
56921061 0,332 1,456 0,590 0,038 1,461 0,905 
56921149 0,338 1,456 0,581 0,038 1,461 0,905 
56921223 0,340 1,456 0,579 0,038 1,461 0,905 
56921330 0,349 1,456 0,568 0,064 1,468 0,868 
56921431 0,356 1,457 0,560 0,083 1,470 0,837 
56921551 0,364 1,457 0,550 0,109 1,468 0,792 
56921650 0,371 1,457 0,542 0,120 1,466 0,770 
56921732 0,376 1,457 0,535 0,128 1,465 0,755 
56921821 0,382 1,458 0,528 0,139 1,462 0,734 
56921960 0,391 1,458 0,517 0,149 1,459 0,713 
56922054 0,398 1,458 0,510 0,159 1,455 0,692 
56922152 0,404 1,458 0,503 0,163 1,453 0,683 
56922227 0,404 1,458 0,503 0,172 1,449 0,664 
56922324 0,404 1,458 0,503 0,192 1,434 0,613 
56922443 0,404 1,458 0,503 0,196 1,430 0,600 
56922543 0,404 1,458 0,503 0,200 1,425 0,585 
56922673 0,404 1,458 0,503 0,209 1,414 0,550 
56922724 0,404 1,458 0,503 0,212 1,411 0,535 
56922832 0,404 1,458 0,503 0,220 1,402 0,499 
56922934 0,404 1,458 0,503 0,225 1,397 0,471 
56923029 0,404 1,458 0,503 0,227 1,396 0,462 
56923159 0,404 1,458 0,503 0,232 1,393 0,446 
56923265 0,404 1,458 0,503 0,238 1,391 0,433 
56923320 0,404 1,458 0,503 0,239 1,391 0,431 
56923451 0,404 1,458 0,503 0,242 1,389 0,426 
56923540 0,404 1,458 0,503 0,244 1,389 0,425 
56923651 0,404 1,458 0,503 0,246 1,385 0,430 
56923740 0,404 1,458 0,503 0,246 1,385 0,430 
56923834 0,404 1,458 0,503 0,246 1,385 0,430 
56923961 0,404 1,458 0,503 0,245 1,384 0,433 
56924056 0,404 1,458 0,503 0,244 1,383 0,440 
56924157 0,404 1,458 0,503 0,242 1,382 0,444 
56924246 0,404 1,458 0,503 0,241 1,382 0,448 
56924350 0,404 1,458 0,503 0,233 1,380 0,472 
56924444 0,404 1,458 0,503 0,227 1,380 0,488 
56924549 0,404 1,458 0,503 0,222 1,381 0,498 
56924602 0,404 1,458 0,503 0,219 1,382 0,506 
56924744 0,404 1,458 0,503 0,208 1,385 0,522 
56924856 0,404 1,458 0,503 0,202 1,387 0,529 
56924939 0,404 1,458 0,503 0,198 1,388 0,532 
56925033 0,404 1,458 0,503 0,194 1,390 0,534 
56925084 0,404 1,458 0,503 0,188 1,392 0,537 
56925244 0,404 1,458 0,503 0,180 1,395 0,537 
56925348 0,404 1,458 0,503 0,174 1,398 0,536 
