Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
57368216 -1,039 1,592 1,124 -1,039 1,592 1,124 
57368294 -1,036 1,590 1,127 -1,036 1,590 1,127 
57368342 -1,035 1,589 1,129 -1,035 1,589 1,129 
57368492 -1,030 1,583 1,136 -1,029 1,580 1,139 
57368582 -1,028 1,577 1,141 -1,028 1,577 1,141 
57368657 -1,028 1,576 1,142 -1,028 1,576 1,142 
57368810 -1,030 1,562 1,147 -1,030 1,562 1,147 
57368857 -1,031 1,558 1,148 -1,031 1,558 1,148 
57368979 -1,036 1,549 1,151 -1,036 1,549 1,151 
57369027 -1,038 1,545 1,151 -1,038 1,545 1,151 
57369182 -1,043 1,537 1,152 -1,043 1,537 1,152 
57369322 -1,049 1,530 1,151 -1,049 1,530 1,151 
57369369 -1,052 1,527 1,150 -1,052 1,527 1,150 
57369488 -1,056 1,522 1,148 -1,056 1,522 1,148 
57369621 -1,058 1,520 1,147 -1,058 1,520 1,147 
57369709 -1,064 1,516 1,142 -1,064 1,516 1,142 
57369803 -1,069 1,513 1,137 -1,069 1,513 1,137 
57369921 -1,072 1,512 1,133 -1,072 1,512 1,133 
57369987 -1,072 1,512 1,133 -1,074 1,511 1,130 
57370104 -1,072 1,512 1,133 -1,079 1,511 1,123 
57370187 -1,082 1,511 1,120 -1,082 1,511 1,120 
57370312 -1,085 1,511 1,116 -1,085 1,511 1,116 
57370408 -1,088 1,512 1,113 -1,088 1,512 1,113 
57370520 -1,089 1,512 1,111 -1,089 1,512 1,111 
57370616 -1,093 1,513 1,106 -1,093 1,513 1,106 
57370710 -1,097 1,516 1,102 -1,097 1,516 1,102 
57370821 -1,103 1,520 1,096 -1,103 1,520 1,096 
57370872 -1,107 1,524 1,093 -1,107 1,524 1,093 
57370998 -1,113 1,531 1,087 -1,113 1,531 1,087 
57371051 -1,114 1,532 1,086 -1,114 1,532 1,086 
57371189 -1,121 1,540 1,079 -1,121 1,540 1,079 
57371262 -1,121 1,540 1,079 -1,121 1,540 1,079 
57371388 -1,123 1,543 1,076 -1,123 1,543 1,076 
