Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
-0,246 1,602 0,999 -0,403 1,615 1,000 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,388 1,618 0,994 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,375 1,622 0,987 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,367 1,625 0,982 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,362 1,628 0,976 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,361 1,631 0,972 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,364 1,636 0,968 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,371 1,638 0,966 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,385 1,640 0,966 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,390 1,641 0,966 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,417 1,643 0,971 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,440 1,643 0,978 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,460 1,643 0,986 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,486 1,641 0,997 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,509 1,640 1,009 0 5 -90 -90 135  
-0,246 1,602 0,999 -0,521 1,638 1,015 0 5 -90 -90 135  
-0,243 1,602 0,999 -0,535 1,637 1,023 0 5 -90 -90 135  
-0,233 1,603 0,999 -0,547 1,636 1,030 0 5 -90 -90 135  
-0,226 1,603 1,000 -0,547 1,636 1,030 0 5 -90 -90 135  
-0,215 1,604 1,000 -0,560 1,635 1,037 0 5 -90 -90 135  
-0,207 1,604 1,000 -0,572 1,633 1,044 0 5 -90 -90 135  
-0,201 1,604 1,000 -0,583 1,631 1,051 0 5 -90 -90 135  
-0,592 1,629 1,056 -0,592 1,629 1,056 0 5 -90 -90 135  
-0,605 1,626 1,064 -0,605 1,626 1,064 0 5 -90 -90 135  
-0,615 1,622 1,071 -0,615 1,622 1,071 0 5 -90 -90 135  
-0,619 1,620 1,074 -0,619 1,620 1,074 0 5 -90 -90 135  
-0,626 1,615 1,078 -0,626 1,615 1,078 0 5 -90 -90 135  
-0,629 1,611 1,080 -0,629 1,611 1,080 0 5 -90 -90 135  
-0,630 1,608 1,080 -0,630 1,608 1,080 0 5 -90 -90 135  
-0,631 1,607 1,079 -0,631 1,607 1,079 0 5 -90 -90 135  
-0,630 1,602 1,077 -0,630 1,602 1,077 0 5 -90 -90 135  
-0,628 1,599 1,074 -0,628 1,599 1,074 0 5 -90 -90 135  
-0,621 1,593 1,065 -0,621 1,593 1,065 0 5 -90 -90 135  
-0,620 1,591 1,063 -0,620 1,591 1,063 0 5 -90 -90 135  
-0,614 1,587 1,055 -0,614 1,587 1,055 0 5 -90 -90 135  
-0,614 1,587 1,055 -0,614 1,587 1,055 0 5 -90 -90 135  
-0,605 1,582 1,039 -0,605 1,582 1,039 0 5 -90 -90 135  
-0,598 1,580 1,024 -0,598 1,580 1,024 0 5 -90 -90 135  
-0,598 1,580 1,024 -0,598 1,580 1,024 0 5 -90 -90 135  
-0,594 1,579 1,015 -0,594 1,579 1,015 0 5 -90 -90 135  
-0,592 1,576 1,000 -0,592 1,576 1,000 0 5 -90 -90 135  
-0,584 1,577 1,000 -0,592 1,576 1,000 0 5 -90 -90 135  
-0,587 1,574 0,993 -0,593 1,573 0,993 0 5 -90 -90 135  
-0,579 1,574 0,994 -0,604 1,562 0,983 0 5 -90 -90 135  
-0,570 1,575 0,994 -0,623 1,549 0,979 0 5 -90 -90 135  
-0,564 1,575 0,994 -0,625 1,548 0,979 0 5 -90 -90 135  
-0,555 1,576 0,994 -0,630 1,546 0,978 0 5 -90 -90 135  
-0,543 1,576 0,994 -0,642 1,543 0,976 0 5 -90 -90 135  
-0,534 1,577 0,994 -0,649 1,543 0,975 0 5 -90 -90 135  
-0,525 1,577 0,994 -0,658 1,545 0,973 0 5 -90 -90 135  
-0,521 1,577 0,994 -0,660 1,546 0,973 0 5 -90 -90 135  
-0,511 1,578 0,994 -0,667 1,550 0,969 0 5 -90 -90 135  
-0,501 1,578 0,995 -0,673 1,556 0,966 0 5 -90 -90 135  
-0,489 1,579 0,995 -0,677 1,560 0,962 0 5 -90 -90 135  
-0,482 1,579 0,995 -0,680 1,566 0,959 0 5 -90 -90 135  
-0,473 1,580 0,995 -0,681 1,572 0,956 0 5 -90 -90 135  
-0,462 1,581 0,995 -0,682 1,577 0,951 0 5 -90 -90 135  
-0,453 1,581 0,995 -0,682 1,583 0,947 0 5 -90 -90 135  
-0,443 1,582 0,995 -0,680 1,589 0,942 0 5 -90 -90 135  
-0,434 1,582 0,996 -0,677 1,594 0,936 0 5 -90 -90 135  
-0,425 1,583 0,996 -0,673 1,598 0,931 0 5 -90 -90 135  
-0,416 1,583 0,996 -0,669 1,600 0,925 0 5 -90 -90 135  
-0,406 1,584 0,996 -0,667 1,601 0,923 0 5 -90 -90 135  
-0,398 1,584 0,996 -0,660 1,602 0,915 0 5 -90 -90 135  
-0,390 1,584 0,996 -0,655 1,602 0,911 0 5 -90 -90 135  
-0,381 1,585 0,996 -0,648 1,600 0,906 0 5 -90 -90 135  
-0,372 1,585 0,996 -0,643 1,598 0,903 0 5 -90 -90 135  
-0,361 1,586 0,997 -0,631 1,592 0,897 0 5 -90 -90 135  
-0,351 1,587 0,997 -0,617 1,583 0,891 0 5 -90 -90 135  
-0,343 1,587 0,997 -0,608 1,577 0,888 0 5 -90 -90 135  
-0,333 1,587 0,997 -0,599 1,572 0,887 0 5 -90 -90 135  
-0,329 1,588 0,997 -0,595 1,571 0,886 0 5 -90 -90 135  
-0,314 1,589 0,997 -0,578 1,566 0,886 0 5 -90 -90 135  
-0,305 1,589 0,997 -0,567 1,565 0,888 0 5 -90 -90 135  
-0,297 1,589 0,997 -0,557 1,565 0,891 0 5 -90 -90 135  
-0,289 1,590 0,997 -0,544 1,566 0,897 0 5 -90 -90 135  
-0,279 1,590 0,998 -0,532 1,568 0,902 0 5 -90 -90 135  
-0,270 1,591 0,998 -0,521 1,569 0,909 0 5 -90 -90 135  
-0,262 1,591 0,998 -0,512 1,571 0,915 0 5 -90 -90 135  
-0,251 1,592 0,998 -0,495 1,572 0,927 0 5 -90 -90 135  
-0,241 1,592 0,998 -0,484 1,572 0,935 0 5 -90 -90 135  
-0,235 1,593 0,998 -0,476 1,572 0,941 0 5 -90 -90 135  
-0,226 1,593 0,998 -0,465 1,571 0,950 0 5 -90 -90 135  
-0,216 1,594 0,998 -0,451 1,569 0,961 0 5 -90 -90 135  
-0,207 1,594 0,999 -0,437 1,569 0,972 0 5 -90 -90 135  
-0,196 1,595 0,999 -0,428 1,569 0,979 0 5 -90 -90 135  
-0,187 1,595 0,999 -0,414 1,573 0,990 0 5 -90 -90 135  
-0,177 1,596 0,999 -0,405 1,575 0,996 0 5 -90 -90 135  
-0,167 1,596 0,999 -0,394 1,578 1,003 0 5 -90 -90 135  
-0,160 1,597 0,999 -0,386 1,580 1,008 0 5 -90 -90 135  
-0,156 1,597 0,999 -0,382 1,581 1,010 0 5 -90 -90 135  
-0,140 1,598 1,000 -0,372 1,582 1,013 0 5 -90 -90 135  
-0,136 1,598 1,000 -0,369 1,583 1,013 0 5 -90 -90 135  
-0,125 1,599 1,000 -0,363 1,583 1,014 0 5 -90 -90 135  
-0,116 1,599 1,000 -0,359 1,582 1,014 0 5 -90 -90 135  
-0,353 1,581 1,012 -0,353 1,581 1,012 0 5 -90 -90 135  
-0,349 1,580 1,010 -0,349 1,580 1,010 0 5 -90 -90 135  
-0,348 1,579 1,009 -0,348 1,579 1,009 0 5 -90 -90 135  
-0,342 1,577 1,005 -0,342 1,577 1,005 0 5 -90 -90 135  
-0,338 1,575 1,002 -0,338 1,575 1,002 0 5 -90 -90 135  
-0,335 1,573 0,999 -0,335 1,573 0,999 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,330 1,571 0,994 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,327 1,569 0,991 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,326 1,567 0,988 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,325 1,565 0,986 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,325 1,562 0,981 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,325 1,560 0,977 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,328 1,559 0,974 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,331 1,558 0,972 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,336 1,558 0,970 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,343 1,558 0,969 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,353 1,557 0,969 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,364 1,556 0,971 0 5 -90 -90 135  
