Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
56289069 0,012 1,548 -0,109 -0,670 1,293 -0,215 
56289193 0,012 1,548 -0,109 -0,575 1,279 -0,253 
56289297 0,012 1,548 -0,109 -0,429 1,274 -0,306 
56289347 0,012 1,548 -0,109 -0,408 1,276 -0,313 
56289477 0,012 1,548 -0,109 -0,318 1,288 -0,339 
56289577 0,012 1,548 -0,109 -0,230 1,312 -0,356 
56289692 0,012 1,548 -0,109 -0,197 1,326 -0,360 
56289795 0,012 1,548 -0,109 -0,157 1,347 -0,360 
56289870 0,012 1,548 -0,109 -0,135 1,363 -0,356 
56289960 0,012 1,548 -0,109 -0,106 1,394 -0,344 
56290092 0,012 1,548 -0,109 -0,093 1,424 -0,323 
56290179 0,012 1,548 -0,109 -0,094 1,445 -0,302 
56290263 0,012 1,548 -0,109 -0,096 1,454 -0,292 
56290375 0,012 1,548 -0,109 -0,113 1,479 -0,256 
56290466 0,012 1,548 -0,109 -0,127 1,491 -0,235 
56290562 0,012 1,548 -0,109 -0,142 1,501 -0,216 
56290660 0,012 1,548 -0,109 -0,182 1,520 -0,169 
56290789 0,012 1,548 -0,109 -0,226 1,534 -0,123 
56290877 0,012 1,548 -0,109 -0,237 1,537 -0,113 
56290969 0,012 1,548 -0,109 -0,302 1,550 -0,054 
56291045 0,012 1,548 -0,109 -0,318 1,552 -0,041 
56291183 0,012 1,548 -0,109 -0,352 1,556 -0,014 
56291295 0,012 1,548 -0,109 -0,403 1,560 0,024 
56291396 0,012 1,548 -0,109 -0,436 1,561 0,047 
56291482 0,012 1,548 -0,109 -0,454 1,562 0,059 
56291575 0,012 1,548 -0,109 -0,473 1,562 0,070 
56291693 0,012 1,548 -0,109 -0,497 1,562 0,083 
56291795 0,012 1,548 -0,109 -0,527 1,561 0,094 
56291884 0,012 1,548 -0,109 -0,538 1,560 0,094 
56291970 0,012 1,548 -0,109 -0,542 1,560 0,091 
56292051 0,012 1,548 -0,109 -0,543 1,559 0,089 
56292180 0,012 1,548 -0,109 -0,544 1,559 0,086 
56292278 0,014 1,548 -0,109 -0,543 1,559 0,076 
56292387 0,020 1,548 -0,110 -0,533 1,558 0,051 
56292473 0,025 1,548 -0,110 -0,526 1,558 0,040 
56292560 0,030 1,549 -0,110 -0,526 1,558 0,040 
56292660 0,036 1,549 -0,111 -0,506 1,558 0,009 
56292777 0,043 1,549 -0,111 -0,494 1,558 -0,007 
56292863 0,048 1,549 -0,111 -0,468 1,556 -0,038 
56292956 0,054 1,550 -0,112 -0,446 1,555 -0,063 
56293077 0,062 1,550 -0,112 -0,440 1,554 -0,070 
56293181 0,067 1,550 -0,113 -0,430 1,553 -0,080 
56293267 0,074 1,551 -0,113 -0,409 1,551 -0,100 
56293353 0,079 1,551 -0,114 -0,393 1,549 -0,115 
56293480 0,087 1,551 -0,114 -0,346 1,545 -0,152 
56293575 0,094 1,552 -0,115 -0,340 1,544 -0,156 
56293668 0,100 1,552 -0,115 -0,282 1,538 -0,182 
56293766 0,107 1,552 -0,115 -0,282 1,538 -0,182 
56293866 0,114 1,553 -0,115 -0,282 1,538 -0,182 
56293976 0,122 1,553 -0,110 -0,258 1,535 -0,186 
56294030 0,125 1,553 -0,107 -0,251 1,534 -0,186 
56294165 0,135 1,554 -0,100 -0,234 1,533 -0,185 
56294267 0,142 1,554 -0,095 -0,212 1,531 -0,175 
56294380 0,150 1,554 -0,088 -0,194 1,529 -0,160 
56294491 0,157 1,555 -0,082 -0,175 1,529 -0,135 
56294583 0,163 1,555 -0,076 -0,168 1,528 -0,120 
56294666 0,168 1,555 -0,071 -0,168 1,528 -0,120 
56294782 0,176 1,556 -0,064 -0,151 1,526 -0,080 
56294861 0,181 1,556 -0,060 -0,151 1,526 -0,080 
56294972 0,189 1,556 -0,053 -0,149 1,526 -0,074 
56295066 0,195 1,557 -0,047 -0,142 1,526 -0,051 
56295161 0,201 1,557 -0,041 -0,136 1,528 -0,034 
