Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
53402647 -0,228 1,477 0,997 -0,761 1,463 1,163 
53402744 -0,222 1,478 0,997 -0,782 1,473 1,177 
53402841 -0,217 1,478 0,997 -0,793 1,478 1,183 
53402946 -0,210 1,478 0,997 -0,815 1,488 1,195 
53403044 -0,204 1,478 0,997 -0,828 1,494 1,199 
53403167 -0,196 1,479 0,997 -0,841 1,503 1,199 
53403260 -0,191 1,479 0,997 -0,845 1,506 1,197 
53403363 -0,184 1,479 0,997 -0,845 1,512 1,188 
53403459 -0,178 1,479 0,997 -0,841 1,515 1,178 
53403543 -0,172 1,480 0,997 -0,838 1,515 1,173 
53403673 -0,165 1,480 0,997 -0,832 1,516 1,165 
53403781 -0,158 1,480 0,997 -0,805 1,512 1,134 
53403867 -0,152 1,480 0,997 -0,792 1,510 1,122 
53403960 -0,147 1,481 0,997 -0,764 1,505 1,097 
53404010 -0,145 1,481 0,997 -0,764 1,505 1,097 
53404142 -0,136 1,481 0,997 -0,720 1,497 1,062 
53404244 -0,129 1,481 0,997 -0,691 1,494 1,042 
53404333 -0,124 1,482 0,997 -0,661 1,490 1,022 
53404482 -0,115 1,482 0,997 -0,611 1,484 0,993 
53404560 -0,112 1,482 0,997 -0,599 1,483 0,986 
53404657 -0,108 1,482 0,997 -0,558 1,479 0,967 
53404757 -0,108 1,482 0,997 -0,527 1,477 0,954 
53404857 -0,108 1,482 0,997 -0,485 1,477 0,940 
53404951 -0,108 1,482 0,997 -0,457 1,478 0,933 
53405053 -0,108 1,482 0,997 -0,449 1,479 0,931 
53405144 -0,108 1,482 0,997 -0,424 1,480 0,928 
53405277 -0,108 1,482 0,997 -0,396 1,482 0,926 
53405375 -0,108 1,482 0,997 -0,376 1,485 0,928 
53405458 -0,108 1,482 0,997 -0,369 1,487 0,931 
53405539 -0,108 1,482 0,997 -0,367 1,488 0,932 
53405643 -0,108 1,482 0,997 -0,363 1,494 0,942 
53405741 -0,108 1,482 0,997 -0,365 1,497 0,947 
53405857 -0,108 1,482 0,997 -0,377 1,501 0,958 
53405960 -0,100 1,482 0,998 -0,390 1,504 0,967 
53406007 -0,097 1,483 0,998 -0,403 1,504 0,974 
53406141 -0,088 1,483 0,998 -0,424 1,505 0,984 
53406242 -0,080 1,483 0,998 -0,456 1,507 0,996 
53406367 -0,069 1,484 0,998 -0,494 1,508 1,009 
53406445 -0,064 1,484 0,998 -0,511 1,509 1,013 
53406575 -0,055 1,484 0,998 -0,540 1,508 1,022 
53406675 -0,047 1,485 0,998 -0,577 1,507 1,033 
53406767 -0,040 1,485 0,998 -0,591 1,506 1,038 
53406865 -0,033 1,485 0,998 -0,619 1,501 1,047 
53406977 -0,024 1,486 0,998 -0,631 1,498 1,051 
53407065 -0,018 1,486 0,998 -0,638 1,495 1,054 
53407176 -0,014 1,486 0,998 -0,646 1,488 1,060 
