Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
55543944 -0,136 1,560 1,092 -0,136 1,560 1,092 
55544103 -0,131 1,560 1,092 -0,131 1,560 1,092 
55544159 -0,125 1,562 1,089 -0,125 1,562 1,089 
55544261 -0,123 1,562 1,089 -0,123 1,562 1,089 
55544351 -0,109 1,559 1,079 -0,109 1,559 1,079 
55544441 -0,105 1,557 1,077 -0,105 1,557 1,077 
55544541 -0,104 1,556 1,075 -0,104 1,556 1,075 
55544666 -0,098 1,553 1,070 -0,098 1,553 1,070 
55544758 -0,090 1,548 1,063 -0,090 1,548 1,063 
55544845 -0,088 1,547 1,061 -0,088 1,547 1,061 
55544944 -0,079 1,540 1,052 -0,079 1,540 1,052 
55545061 -0,076 1,538 1,050 -0,076 1,538 1,050 
55545179 -0,076 1,538 1,050 -0,076 1,538 1,050 
55545276 -0,072 1,534 1,046 -0,072 1,534 1,046 
55545376 -0,070 1,531 1,043 -0,070 1,531 1,043 
55545461 -0,070 1,530 1,042 -0,070 1,530 1,042 
55545563 -0,071 1,526 1,041 -0,071 1,526 1,041 
55545641 -0,071 1,526 1,041 -0,071 1,526 1,041 
55545775 -0,073 1,525 1,042 -0,073 1,525 1,042 
55545865 -0,075 1,524 1,044 -0,075 1,524 1,044 
55545965 -0,082 1,524 1,048 -0,082 1,524 1,048 
55546042 -0,087 1,524 1,050 -0,087 1,524 1,050 
55546175 -0,100 1,524 1,058 -0,100 1,524 1,058 
55546266 -0,100 1,524 1,058 -0,100 1,524 1,058 
55546351 -0,118 1,525 1,067 -0,118 1,525 1,067 
55546443 -0,125 1,525 1,070 -0,125 1,525 1,070 
55546541 -0,142 1,525 1,077 -0,142 1,525 1,077 
55546676 -0,151 1,526 1,080 -0,151 1,526 1,080 
55546763 -0,154 1,526 1,081 -0,154 1,526 1,081 
55546854 -0,162 1,527 1,083 -0,162 1,527 1,083 
55546960 -0,165 1,528 1,084 -0,165 1,528 1,084 
55547045 -0,171 1,529 1,085 -0,171 1,529 1,085 
55547143 -0,176 1,530 1,086 -0,176 1,530 1,086 
55547242 -0,187 1,533 1,087 -0,187 1,533 1,087 
55547375 -0,189 1,534 1,087 -0,189 1,534 1,087 
55547461 -0,193 1,536 1,087 -0,193 1,536 1,087 
55547539 -0,193 1,536 1,087 -0,193 1,536 1,087 
55547679 -0,211 1,542 1,085 -0,211 1,542 1,085 
55547772 -0,214 1,543 1,084 -0,214 1,543 1,084 
55547859 -0,219 1,543 1,082 -0,219 1,543 1,082 
55547950 -0,219 1,543 1,082 -0,219 1,543 1,082 
55548066 -0,223 1,542 1,078 -0,223 1,542 1,078 
55548142 -0,224 1,542 1,076 -0,224 1,542 1,076 
55548258 -0,227 1,543 1,070 -0,227 1,543 1,070 
55548343 -0,227 1,543 1,069 -0,227 1,543 1,069 
55548444 -0,228 1,544 1,061 -0,228 1,544 1,061 
55548575 -0,228 1,544 1,061 -0,228 1,544 1,061 
55548662 -0,228 1,546 1,052 -0,228 1,546 1,052 
55548779 -0,227 1,546 1,050 -0,227 1,546 1,050 
55548864 -0,226 1,549 1,040 -0,226 1,549 1,040 
55548963 -0,223 1,549 1,029 -0,223 1,549 1,029 
55549065 -0,221 1,549 1,025 -0,221 1,549 1,025 
55549141 -0,218 1,550 1,019 -0,218 1,550 1,019 
55549236 -0,218 1,550 1,019 -0,218 1,550 1,019 
55549347 -0,215 1,550 1,013 -0,215 1,550 1,013 
55549431 -0,213 1,551 1,010 -0,213 1,551 1,010 
55549534 -0,208 1,553 1,000 -0,208 1,553 1,000 
55549657 -0,198 1,558 0,995 -0,206 1,554 0,995 
55549741 -0,190 1,562 0,995 -0,204 1,555 0,991 
55549877 -0,177 1,570 0,996 -0,201 1,556 0,983 
55549959 -0,169 1,574 0,996 -0,201 1,556 0,983 
55550035 -0,163 1,578 0,996 -0,198 1,560 0,965 
55550147 -0,150 1,585 0,996 -0,197 1,566 0,946 
55550249 -0,140 1,587 0,996 -0,197 1,568 0,938 
55550369 -0,131 1,587 0,996 -0,198 1,569 0,933 
55550476 -0,120 1,588 0,997 -0,200 1,574 0,912 
55550533 -0,115 1,588 0,997 -0,201 1,576 0,907 
55550674 -0,102 1,588 0,997 -0,201 1,578 0,902 
55550761 -0,095 1,590 0,997 -0,203 1,583 0,892 
55550858 -0,087 1,595 0,998 -0,204 1,585 0,889 
55550966 -0,078 1,595 0,998 -0,205 1,587 0,885 
55551052 -0,070 1,595 0,998 -0,207 1,592 0,876 
55551152 -0,062 1,598 0,998 -0,208 1,594 0,873 
55551247 -0,054 1,603 0,998 -0,208 1,595 0,871 
55551339 -0,046 1,608 0,998 -0,209 1,597 0,867 
55551450 -0,037 1,613 0,998 -0,209 1,597 0,866 
55551561 -0,026 1,619 0,999 -0,211 1,588 0,872 
55551643 -0,018 1,624 0,999 -0,210 1,584 0,877 
55551760 -0,008 1,626 0,999 -0,209 1,578 0,884 
55551862 0,000 1,626 0,999 -0,208 1,574 0,890 
55551982 0,011 1,626 0,999 -0,204 1,567 0,903 
55552069 0,018 1,626 1,000 -0,200 1,562 0,915 
55552164 0,027 1,626 1,000 -0,190 1,554 0,934 
55552263 -0,184 1,553 0,938 -0,188 1,553 0,938 
55552359 -0,175 1,553 0,938 -0,173 1,549 0,954 
55552445 -0,168 1,553 0,938 -0,163 1,550 0,963 
55552567 -0,158 1,553 0,938 -0,148 1,553 0,972 
55552677 -0,149 1,554 0,939 -0,127 1,559 0,981 
55552752 -0,146 1,554 0,939 -0,121 1,561 0,982 
55552881 -0,146 1,554 0,939 -0,116 1,563 0,983 
55552978 -0,146 1,554 0,939 -0,103 1,566 0,983 
55553073 -0,146 1,554 0,939 -0,096 1,566 0,980 
55553175 -0,146 1,554 0,939 -0,092 1,565 0,975 
55553296 -0,146 1,554 0,939 -0,092 1,563 0,970 
55553342 -0,146 1,554 0,939 -0,094 1,561 0,967 
55553476 -0,146 1,554 0,939 -0,101 1,559 0,959 
55553561 -0,146 1,554 0,939 -0,106 1,558 0,955 
55553674 -0,146 1,554 0,939 -0,118 1,556 0,950 
55553775 -0,146 1,554 0,939 -0,124 1,556 0,947 
55553877 -0,146 1,554 0,939 -0,142 1,555 0,943 
55553941 -0,146 1,554 0,939 -0,149 1,555 0,943 
55554045 -0,146 1,554 0,939 -0,167 1,556 0,946 
55554178 -0,146 1,554 0,939 -0,183 1,558 0,953 
55554276 -0,146 1,554 0,939 -0,194 1,563 0,962 
55554367 -0,146 1,554 0,939 -0,198 1,566 0,970 
55554466 -0,146 1,554 0,939 -0,202 1,571 0,978 
55554556 -0,146 1,554 0,939 -0,204 1,575 0,988 
55554661 -0,146 1,554 0,939 -0,204 1,580 1,000 
55554759 -0,146 1,554 0,939 -0,202 1,583 1,012 
55554847 -0,146 1,554 0,939 -0,199 1,583 1,020 
55555001 -0,146 1,554 0,939 -0,192 1,583 1,029 
55555059 -0,146 1,554 0,939 -0,188 1,583 1,032 
